lsl_time,CZ,C3,CPZ3,FC4,FC3,CPZ4,C4,CPZ
39151.100687,0.390092,0.085430,0.094514,1.592039,0.952943,-0.293605,2.216663,2.535951
39151.104559,0.438462,0.100398,0.092620,1.755591,1.125865,-0.311976,2.360325,2.984382
39151.108612,0.373222,-0.105577,0.550071,1.380412,-0.013813,1.322114,3.447079,-0.643138
39151.112534,0.420159,-0.112843,0.598048,1.573321,0.001348,1.408967,3.807761,-0.641023
39151.116551,0.196918,-0.089184,0.498736,0.506278,-0.123950,1.330807,0.638608,0.412024
39151.120605,0.311520,-0.107400,1.111297,0.234842,0.747044,1.897140,-0.290732,2.825889
39151.124562,0.352049,-0.126698,1.248000,0.292581,0.773503,2.176795,-0.425012,3.077595
39151.128541,0.159137,-0.050048,0.721994,-0.226908,0.946064,0.266992,0.592275,1.309281
39151.132553,0.237056,0.084007,1.003953,-0.090728,1.898974,-0.369123,2.890129,-0.507856
39151.136556,0.268282,0.084094,1.131457,-0.121569,2.114881,-0.363459,3.182720,-0.448638
39151.140571,0.111094,0.134395,0.389053,0.222146,0.707715,0.156632,1.221305,-0.008949
39151.144535,0.149558,0.429458,0.302998,1.066821,0.137301,1.951560,-0.247709,2.815416
39151.148553,0.170101,0.472747,0.356713,1.161076,0.213951,2.126163,-0.169262,3.054712
39151.152558,0.062068,0.318800,-0.052413,0.802020,-0.305568,1.513478,-0.321890,1.588934
39151.156549,0.063324,0.704437,-0.250170,1.529092,0.147018,1.301516,1.646322,0.472599
39151.160549,0.072890,0.783001,-0.274086,1.736988,0.141397,1.551416,1.752473,0.685844
39151.164560,0.019467,0.465920,-0.111333,0.610629,0.634258,-0.217574,1.715533,-0.430012
39151.168691,-0.009620,0.795133,0.099687,0.352428,1.702168,-0.335824,1.435528,2.533796
39151.172580,-0.008606,0.897167,0.094080,0.432900,1.895241,-0.413786,1.708176,2.714883
39151.176538,-0.017504,0.422768,0.273095,-0.146431,1.030222,0.562759,-0.226733,1.718013
39151.180543,-0.050865,0.642536,0.890067,-0.316349,0.941451,2.258787,0.007859,0.363682
39151.184558,-0.056214,0.729538,0.976410,-0.351652,1.113975,2.466710,-0.108496,0.541897
39151.188584,-0.041351,0.270845,0.653382,0.092360,0.044671,1.294363,1.134185,-0.270998
39151.192572,-0.075760,0.299767,1.174263,0.856735,-0.428251,0.586920,2.956243,1.759027
39151.196558,-0.084272,0.345176,1.333152,0.924916,-0.480434,0.736041,3.363985,1.874784
39151.200534,-0.034970,0.086886,0.602260,0.798151,0.229833,-0.179614,0.598617,1.432398
39151.204546,-0.046850,-0.013848,0.697372,1.601249,1.404390,0.491503,-0.073076,0.676645
39151.208574,-0.054058,-0.008635,0.797412,1.820017,1.537482,0.504521,-0.054177,0.904688
39151.212537,-0.013545,-0.040969,0.179692,0.697827,1.016019,0.920140,0.336928,-0.618558
39151.216542,-0.001650,-0.135040,-0.052568,0.630087,1.457815,2.397862,2.530180,1.751034
39151.220559,-0.004217,-0.154957,-0.045639,0.742082,1.675794,2.645553,2.758714,1.797080
39151.224534,0.017403,-0.083727,-0.128193,0.070618,0.369459,0.782941,1.620090,2.164503
39151.228575,0.065414,0.003837,-0.102534,-0.336395,-0.238172,0.153521,0.471945,1.130401
39151.232556,0.071128,-0.003552,-0.128130,-0.384362,-0.230091,0.200728,0.633339,1.378557
39151.236068,0.059307,0.081209,0.037931,0.043380,-0.027014,-0.087035,-0.339641,-0.384073
39151.241620,0.153968,0.309197,0.456807,0.594197,0.824125,1.029201,0.994257,1.170976
39151.245582,0.170540,0.338623,0.492368,0.628645,0.875819,1.081463,1.011555,1.187216
39151.247957,0.213068,0.537726,0.914773,1.328704,1.889692,1.979051,4.767959,2.852482
39151.252934,0.237044,0.596556,1.011992,1.466190,2.099559,2.204204,5.092249,3.224095
39151.256335,0.141595,0.384185,0.697510,0.949983,1.191494,1.060370,1.884367,0.498148
39151.260288,0.295555,0.779479,1.082200,1.283363,0.897856,0.295336,0.136542,-0.063784
39151.264568,0.330272,0.874529,1.219798,1.476759,1.057944,0.394701,0.190573,-0.073704
39151.268403,0.186512,0.465513,0.563614,0.363588,0.055544,-0.161613,0.218736,0.860917
39151.272634,0.365672,0.761891,0.631407,0.049303,-0.321412,0.653840,2.148429,3.559593
39151.275911,0.409284,0.853481,0.730443,0.076410,-0.347321,0.670302,2.308743,3.990966
39151.280590,0.383466,0.641154,0.108932,-0.248861,0.706835,1.984728,2.110791,0.767638
39151.284641,0.430323,0.728599,0.141299,-0.263006,0.733050,2.208425,2.467810,1.127648
39151.288578,0.218689,0.273557,-0.106142,0.118302,1.013309,1.059920,0.175759,-0.178314
