lsl_time,CZ,C3,CPZ3,FC4,FC3,CPZ4,C4,CPZ
39725.562754,-0.050489,-0.034782,0.694625,1.601035,1.543992,0.273216,-0.545585,0.593544
39725.566801,-0.058406,-0.031937,0.795348,1.787737,1.672100,0.229735,-0.545268,0.822861
39725.570563,-0.015089,-0.066830,0.193862,0.701532,0.989983,1.023646,0.179160,-0.346159
39725.574557,0.002799,-0.126876,0.039017,0.606283,1.595887,2.422084,2.504555,1.679739
39725.578615,0.001903,-0.139537,0.054063,0.715357,1.842078,2.695211,2.750721,1.734042
39725.582299,0.012802,-0.077110,-0.163995,0.071641,0.310273,0.854224,1.242664,1.558526
39725.587241,0.068447,-0.012041,-0.097560,-0.211651,-0.314110,-0.101322,0.666151,0.932245
39725.591277,0.074406,-0.021974,-0.118041,-0.261981,-0.331744,-0.030355,0.823869,1.173455
39725.595280,0.061778,0.071808,0.073731,-0.073901,-0.252190,-0.209779,-0.383524,-0.513684
39725.599195,0.154684,0.310039,0.459600,0.613780,0.772037,0.952619,2.127104,1.432282
39725.603222,0.171476,0.339499,0.495382,0.656285,0.815372,1.012169,2.155782,1.483077
39725.607224,0.109851,0.262613,0.462424,0.720028,1.050095,1.262845,1.240599,1.957804
39725.611223,0.241678,0.630341,1.113658,1.614335,2.040095,2.096256,2.101558,1.766244
39725.615207,0.269299,0.699637,1.242275,1.790858,2.313499,2.375425,2.485610,2.118731
39725.619251,0.157608,0.432637,0.655414,0.812543,0.677314,0.438570,-0.003859,-0.373228
39725.623207,0.317958,0.802163,1.009420,0.848094,0.107131,-0.489195,0.142001,0.636207
39725.627265,0.355268,0.902192,1.145041,0.990022,0.182566,-0.529551,0.105320,0.563532
39725.631206,0.196047,0.454081,0.457552,0.127447,-0.219017,0.174316,0.802719,1.497407
39725.635200,0.374470,0.686880,0.379452,-0.327856,0.010613,1.565501,2.675089,2.100661
39725.639262,0.418355,0.773889,0.444104,-0.357766,-0.036144,1.683903,3.051502,2.495325
