lsl_time,CZ,C3,CPZ3,FC4,FC3,CPZ4,C4,CPZ
39012.643996,52.887360,15.439758,19.200024,79.547668,27.847324,24.621017,17.418489,22.622164
39012.647996,322.539520,93.583504,113.158676,468.276062,163.951553,144.698242,109.473846,138.746964
39012.651996,515.101685,149.166611,179.545151,743.641357,260.189850,229.532578,175.594376,221.684845
39012.655996,574.265625,165.457306,198.519653,826.117310,288.147552,253.962540,196.071854,246.810867
39012.659996,559.997742,160.313354,192.246475,805.501099,279.711823,246.280823,190.842300,240.026459
39012.663996,539.821716,154.324966,185.505859,778.742371,270.093658,237.775146,183.381317,231.085541
39012.667996,541.648743,155.726990,187.418457,781.991089,272.299774,239.898972,184.133163,232.383514
39012.671996,571.796082,165.476959,198.871613,823.453491,288.168671,254.097305,195.163712,246.152542
39012.675996,605.603333,175.848099,211.886642,874.714294,306.716309,270.584015,206.362732,260.898804
39012.731891,251.978729,71.402222,85.733093,363.354492,125.258247,110.053047,85.391594,107.486687
39012.735891,403.205750,115.581123,139.330841,583.620056,202.733429,178.489563,136.646790,172.680222
39012.739891,463.002747,133.815643,161.722122,671.786560,234.633377,206.849213,156.951157,198.863525
39012.743891,493.947601,143.011444,172.470490,714.723511,250.020126,220.495361,167.964417,212.452103
39012.747891,503.638916,145.019272,174.022095,724.669861,252.699310,222.707321,171.894943,216.408798
39012.751891,469.016266,134.225754,160.734406,673.522949,233.927002,205.972595,160.104630,201.105286
39012.755891,417.054108,119.474319,143.664810,601.858459,209.091202,184.089645,141.763489,178.684708
39012.759891,405.513611,117.079697,141.582458,588.829346,205.544846,181.146576,137.350922,174.056427
39012.763891,444.192230,128.581039,155.380936,644.239197,225.315826,198.668152,150.703766,190.925247
39012.767891,487.646881,140.329117,168.804535,703.549988,245.202850,216.040833,165.904739,209.335541
39012.771891,512.203857,146.343018,175.406189,736.078247,255.393158,224.778290,174.440933,219.402283
39012.775891,532.311279,151.874588,181.394760,761.810364,264.167877,232.493484,181.912552,228.109512
39012.778451,44.142296,13.851988,17.255852,66.383255,24.393805,21.654667,14.868801,19.495037
39012.782451,237.587479,69.342926,83.743950,344.412872,121.094749,106.864548,80.920982,102.519249
39012.786451,303.160583,87.310959,104.684792,436.090332,152.057648,133.945190,103.569481,130.304810
39012.790451,290.475067,82.923927,99.056671,416.309021,144.327652,126.948242,99.312790,124.484863
39012.794451,261.902405,74.977402,89.933937,377.112305,130.925858,115.207993,89.257454,112.240501
39012.798451,244.323303,70.769859,85.566620,354.809509,124.084961,109.360504,82.899963,105.006508
39012.802451,240.498398,69.881653,84.569084,349.411499,122.498047,107.961838,81.575203,103.476044
39012.806451,242.466629,69.675735,83.704781,349.284790,121.678650,107.040833,82.511955,104.030991
39012.810451,240.658188,68.445038,81.770859,344.612915,119.287842,104.821724,82.049187,102.956078
39012.814451,232.388580,66.412224,79.634552,334.225128,116.001045,102.135643,79.120232,99.547874
39012.818451,223.222000,64.712616,78.234612,324.072876,113.433212,100.238762,75.835434,96.031464
39012.822451,219.220642,63.779263,77.214882,318.783600,111.823425,98.914177,74.495255,94.428848
39012.826451,219.051361,62.881668,75.542892,315.777496,109.887100,96.909340,74.619278,93.983147
39012.830451,216.015030,61.240776,73.076698,309.133392,106.754578,93.836143,73.679344,92.317924
39012.834451,207.438477,59.127487,70.806107,298.022491,103.243950,90.778542,70.602364,88.762611
39012.838451,198.305801,57.449627,69.475403,288.006836,100.741806,88.819588,67.209335,85.227005
39012.842451,194.724777,56.622604,68.668221,283.704285,99.438316,87.713432,65.895485,83.749557
39012.846451,195.687622,56.058216,67.419960,282.454346,98.103935,86.295349,66.437645,83.794472
39012.850451,193.429703,54.694164,65.229500,276.533386,95.311401,83.667725,65.919006,82.551750
39012.854451,181.443909,51.663651,61.816723,260.064911,90.065926,79.237350,61.797653,77.632248
39012.858451,160.971375,46.764359,56.707577,233.952316,82.025314,72.530495,54.495667,69.265778
39012.862451,146.157669,42.697552,52.245739,214.548203,75.411194,66.860985,49.145466,62.918385
39012.866451,170.882645,48.852802,59.264580,248.529236,86.166145,76.146957,57.593945,73.051086
39012.870451,273.529266,77.327209,92.628067,392.454376,135.220200,119.100357,93.056137,116.732765
39012.874451,402.313232,114.244659,135.926361,572.648987,198.065659,174.358398,138.052002,172.315018
39012.885780,234.096542,68.057884,82.428345,340.060547,119.214340,105.302979,79.485428,100.799797
39012.889780,418.431580,121.131065,145.953888,604.131470,211.376495,186.495255,142.571289,180.063644
39012.893780,467.540741,134.498947,161.552307,672.837280,234.508347,206.622696,159.410782,200.787827
39012.897780,456.564178,130.359589,156.458084,656.985168,227.801758,200.480286,155.318130,195.451263
39012.901780,449.378723,128.220581,154.284470,648.809204,224.761032,197.896927,152.412460,192.189987
39012.905780,447.195923,128.487396,155.010422,647.322510,225.243622,198.670135,151.674133,191.731857
39012.909780,434.097839,125.339302,151.138138,627.585144,219.159973,193.542038,147.637878,186.574371
39012.913780,415.440430,119.389565,143.578964,598.707520,208.509766,184.059006,141.493164,178.326599
39012.917780,408.670990,116.316391,139.727234,588.533203,203.669189,179.521881,138.838196,174.712112
39012.921780,418.567810,118.865700,142.978592,603.854797,208.643860,183.759338,141.811783,178.664703
39012.925780,441.165588,126.248642,151.925766,636.427185,221.069611,194.777176,149.741806,188.891815
39012.929780,483.283844,139.559738,167.823593,696.090210,243.335266,214.558167,164.659988,207.782501
39012.933780,527.481689,153.044479,184.845413,763.725342,267.642853,236.190628,179.181427,226.980606
39012.953006,43.667900,13.394135,16.865608,66.001404,23.970100,21.260607,14.392078,19.016195
39012.957006,236.887115,68.676277,83.166054,343.821014,120.434837,106.206245,80.237000,101.829453
39012.961006,302.478271,86.600510,104.053307,435.476562,151.321030,133.233536,102.866447,129.600784
39012.965006,289.920013,82.303391,98.492142,415.752441,143.658051,126.397316,98.708611,123.902977
39012.969006,261.454559,74.534340,89.527924,376.616302,130.424805,114.941681,88.809875,111.838196
39012.973006,243.963318,70.520088,85.340111,354.396393,123.768303,109.381287,82.640350,104.784248
39012.977006,240.253998,69.759033,84.455826,349.132385,122.289490,108.137085,81.485207,103.382278
39012.981006,242.365540,69.597450,83.617653,349.171448,121.493492,107.182678,82.536224,103.996338
39012.985006,240.627975,68.362556,81.665466,344.583496,119.095032,104.800064,82.090256,102.909111
39012.989006,232.262115,66.307617,79.514900,334.089020,115.810959,101.890984,79.024956,99.415115
