lsl_time,CZ,C3,CPZ3,FC4,FC3,CPZ4,C4,CPZ
39572.517308,-0.038616,0.081329,0.613765,0.778516,0.151850,-0.016719,0.609425,1.522716
39572.521976,-0.050682,-0.026034,0.718876,1.524696,1.441386,0.459016,-0.482735,0.875601
39572.525444,-0.059050,-0.024499,0.830549,1.735955,1.574551,0.468551,-0.524970,1.121185
39572.529308,-0.012710,-0.051629,0.182247,0.780017,1.199875,0.853392,0.128859,-0.083669
39572.533278,-0.001289,-0.097201,0.027530,0.620071,1.449402,2.019732,2.452075,1.430168
39572.537286,-0.003157,-0.109021,0.041674,0.728389,1.673739,2.273050,2.644626,1.482687
39572.541301,0.012837,-0.041517,-0.114873,-0.020454,0.360208,0.834417,1.476108,3.243811
39572.545284,0.072750,0.001122,-0.205412,-0.323787,-0.279656,0.079354,0.313326,2.305831
39572.548971,0.079746,-0.001647,-0.240402,-0.369236,-0.290812,0.134006,0.474653,2.823442
39572.553944,0.059334,0.067434,0.018960,-0.042615,-0.138058,-0.161028,-0.548508,-0.035837
39572.557095,0.154515,0.307711,0.470806,0.596699,0.750668,0.826747,2.369498,1.510032
39572.561119,0.171254,0.336249,0.509977,0.633988,0.792719,0.836292,2.421012,1.580594
39572.565215,0.110737,0.262743,0.443943,0.668439,0.936665,1.200692,2.915339,2.175393
39572.568892,0.242059,0.634740,1.136108,1.463219,1.901699,2.023120,2.081224,1.618977
39572.573974,0.269529,0.703164,1.265400,1.637778,2.144650,2.279580,2.423899,1.968000
39572.577938,0.154952,0.399819,0.690937,0.732478,0.709110,0.450205,0.147939,-0.174652
39572.581969,0.318852,0.814300,1.073529,0.851221,0.139511,-0.133671,-0.050812,0.933572
39572.585974,0.355993,0.908098,1.220217,0.993600,0.214251,-0.146989,-0.088507,0.949925
39572.589983,0.192445,0.456444,0.420810,0.072926,-0.281622,-0.016493,0.795130,1.626429
39572.594000,0.370343,0.694755,0.372431,-0.078368,0.099890,1.499876,2.720336,2.049215
39572.597888,0.414527,0.781923,0.436700,-0.085451,0.082685,1.618748,2.981107,2.426890
39572.601846,0.226525,0.323788,0.036707,-0.041211,0.612303,1.284451,0.915722,-0.186569
39572.605863,0.409390,0.415527,-0.168234,0.432680,1.816611,1.454634,-0.124677,0.263197
39572.609646,0.459227,0.474849,-0.172669,0.457055,2.034549,1.677715,-0.051279,0.134584
39572.613625,0.227552,0.139185,-0.123733,0.565843,0.974613,0.026695,0.045784,1.271411
39572.617659,0.390832,0.064030,0.061922,1.447382,0.918898,-0.486215,2.091959,2.391654
39572.621292,0.439503,0.079325,0.055801,1.602906,1.094921,-0.535680,2.236022,2.808166
39572.625324,0.213018,-0.020924,0.230855,0.819470,-0.050790,0.329131,1.672986,0.277880
39572.629269,0.352752,-0.138916,0.810151,0.979956,-0.328538,2.297151,1.180563,0.381633
39572.633336,0.397135,-0.149623,0.891443,1.124989,-0.375349,2.521774,1.436372,0.383614
39572.638038,0.181403,-0.084042,0.593879,0.250436,0.160926,1.397928,-0.031654,1.576984
39572.641799,0.294425,-0.058567,1.177020,-0.050266,1.357487,1.023211,0.691080,2.422075
39572.645339,0.332656,-0.072951,1.329535,-0.046442,1.490401,1.225155,0.705299,2.815353
39572.648669,0.142016,0.002064,0.583502,-0.245219,1.036262,-0.133964,1.387661,0.273487
39572.653782,0.206476,0.195974,0.784989,0.164307,1.505226,0.208458,2.706172,-0.041178
39572.657844,0.233898,0.210479,0.901252,0.143112,1.716989,0.212245,3.111242,-0.049669
39572.661608,0.094016,0.201032,0.245071,0.465980,0.367863,0.715095,0.334012,1.160114
39572.665126,0.121139,0.539841,0.086320,1.461262,-0.292191,2.336107,-0.264486,5.700281
39572.669845,0.138029,0.596755,0.108687,1.601144,-0.279391,2.641267,-0.265627,6.441859
39572.673600,0.044106,0.385909,-0.057662,0.957454,-0.205510,1.145522,0.511566,0.969882
39572.677567,0.038076,0.775896,-0.138949,1.325741,0.777172,0.375768,2.480479,-0.204672
39572.680957,0.044090,0.868734,-0.151409,1.516435,0.827071,0.485396,2.780298,-0.220408
39572.685552,0.006403,0.431548,0.005473,0.361496,0.993281,-0.331498,1.341272,0.849851
39572.689230,-0.018943,0.777884,0.358828,-0.054334,1.732481,0.640725,0.145644,2.803878
39572.692719,-0.020087,0.878546,0.379823,-0.035211,1.952598,0.653052,0.250205,3.137526
39572.696976,-0.053797,0.624423,0.915332,-0.286563,0.915819,2.160403,0.342613,0.559667
39572.701187,-0.058218,0.705271,1.007337,-0.344231,1.080659,2.397659,0.190407,0.735336
39572.704478,-0.037905,0.273101,0.621234,0.098042,0.060712,1.274556,2.454174,-0.330309
39572.709520,-0.073391,0.298939,1.154193,0.811707,-0.176868,0.497200,2.629040,2.005173
39572.713566,-0.082820,0.344563,1.300879,0.881580,-0.218548,0.647528,3.012709,2.116064
39572.717522,-0.036934,0.073699,0.608057,0.785505,0.167647,-0.136504,0.599147,2.037616
39572.721480,-0.048295,-0.014034,0.718597,1.670953,1.489200,0.252906,-0.826855,0.970457
39572.725532,-0.055137,-0.005457,0.830229,1.878990,1.622239,0.192841,-0.898097,1.221684
39572.729496,-0.017122,-0.052882,0.192129,0.682173,1.097423,0.871650,0.170625,-0.244143
39572.733517,-0.004565,-0.161819,-0.029007,0.612058,1.630283,1.997654,2.453058,1.776553
39572.737499,-0.005798,-0.182623,-0.014770,0.722836,1.882839,2.256397,2.661482,1.871623
39572.741487,0.019284,-0.046737,-0.134189,-0.044472,0.305300,0.817798,1.471307,1.904383
39572.745113,0.067664,-0.004036,-0.160936,-0.231892,-0.270385,-0.081445,0.484744,1.276614
39572.750138,0.073476,-0.011227,-0.193609,-0.281715,-0.256835,-0.014903,0.650996,1.592586
39572.754172,0.060904,0.067167,0.008652,-0.083534,-0.046370,-0.284020,-0.503187,0.014759
39572.757125,0.154568,0.306915,0.465104,0.598721,0.728552,0.879788,1.001656,1.367392
39572.762128,0.171325,0.335773,0.501011,0.635642,0.754660,0.895649,1.021112,1.374953
39572.766135,0.110532,0.272640,0.490471,0.744745,1.046607,1.108959,1.323054,1.597394
39572.770173,0.241301,0.641158,1.163391,1.704145,1.823266,2.178038,2.062724,1.436750
39572.773149,0.268578,0.714090,1.287587,1.909299,2.039149,2.469805,2.419622,1.734132
39572.778158,0.156575,0.403778,0.631206,0.765729,0.702759,0.453743,-0.102331,-0.540180
39572.782123,0.317220,0.820007,1.056738,0.835311,0.241545,-0.199821,0.077762,0.686989
39572.786190,0.354388,0.916458,1.194377,0.973924,0.318026,-0.220724,0.063123,0.621958
39572.789133,0.192540,0.449533,0.430107,0.056267,-0.156713,0.105962,0.823351,3.001078
39572.794145,0.368440,0.713387,0.362242,-0.309512,0.091063,1.670707,2.466514,4.016680
39572.798150,0.413485,0.803376,0.427117,-0.322563,0.072058,1.788308,2.811896,4.710964
39572.802187,0.219027,0.340697,0.048493,-0.166129,0.605937,1.235708,0.866317,0.138196
39572.804973,0.390892,0.411342,-0.146876,0.407302,1.910573,1.603078,-0.586523,0.786204
39572.810064,0.438969,0.469433,-0.172350,0.429852,2.113582,1.870053,-0.576259,0.818676
39572.814204,0.225758,0.137798,-0.083989,0.560137,1.186183,0.010110,0.162490,1.418916
39572.817378,0.398191,0.063378,0.035042,1.455414,0.945451,-0.275478,1.719964,2.194598
39572.821422,0.447402,0.079895,0.022726,1.635643,1.115520,-0.308079,1.871137,2.552424
39572.826070,0.364232,-0.107857,0.549003,1.511855,-0.448661,1.222093,2.179572,-0.434766
39572.829691,0.409874,-0.115399,0.596146,1.719307,-0.477269,1.310306,2.545009,-0.396929
39572.833643,0.197970,-0.052551,0.531425,0.497701,0.014903,1.533942,0.312372,0.443835
39572.837667,0.319403,-0.099971,1.103747,0.105182,0.802057,1.969883,-1.004159,2.507295
39572.842172,0.360225,-0.111055,1.233726,0.151281,0.846022,2.277931,-1.168342,2.806189
39572.844665,0.156701,-0.023942,0.620319,-0.178650,0.957914,0.277373,1.211378,1.349882
39572.849583,0.237012,0.090611,0.982954,-0.108847,2.026252,-0.262160,2.569577,0.063765
39572.853660,0.268368,0.096570,1.123142,-0.157244,2.272679,-0.294552,2.866403,0.082262
39572.856883,0.178866,0.310896,0.531223,0.599074,0.950278,0.880675,1.282226,1.265797
39572.862164,0.203121,0.340667,0.614964,0.636874,1.124231,0.908301,1.550309,1.293221
39572.866185,0.077357,0.259938,0.083757,0.725949,-0.127006,1.328452,0.097276,2.045949
39572.870006,0.092961,0.623812,-0.150470,1.607834,-0.370802,2.166378,0.423563,1.485300
39572.873168,0.106419,0.693575,-0.149074,1.786978,-0.449114,2.510971,0.384717,1.779267
39572.878207,0.031369,0.410286,-0.099550,0.818167,0.169398,0.450202,1.130213,-0.106006
