lsl_time,CZ,C3,CPZ3,FC4,FC3,CPZ4,C4,CPZ
38280.608970,0.212789,0.532310,0.939793,1.334868,1.863185,2.566935,4.531743,2.928990
38280.614956,0.236547,0.589345,1.041420,1.481140,2.053832,2.848602,4.807837,3.322223
38280.617003,0.273607,0.705849,1.181127,1.542193,1.468530,1.159799,1.474614,-0.281874
38280.621003,0.304967,0.788295,1.322890,1.740354,1.666413,1.359027,1.868437,-0.160038
38280.624154,0.173864,0.455631,0.673660,0.650298,0.357789,-0.022626,-0.293905,-0.048068
38280.629163,0.344708,0.778094,0.880457,0.338519,-0.173187,0.089836,0.883009,2.249443
38280.633164,0.385117,0.871623,1.010082,0.420109,-0.168097,0.058939,0.868345,2.430780
38280.637190,0.202855,0.439260,0.291536,-0.087359,-0.248822,0.562957,1.742321,1.756317
38280.641200,0.387585,0.602632,0.093197,-0.319692,0.784829,2.121296,1.875605,1.101754
38280.645224,0.433806,0.682380,0.125110,-0.363482,0.834050,2.334742,2.159129,1.475132
38280.649158,0.221736,0.273220,-0.042494,0.123092,1.009789,1.147378,0.086925,-0.487995
38280.653176,0.396126,0.297804,-0.147565,0.874005,1.744645,0.585310,-0.527094,2.350554
38280.657175,0.445827,0.343199,-0.165986,0.940077,1.956096,0.735742,-0.657500,2.465470
38280.661208,0.228470,0.085942,-0.056669,0.795125,0.681343,-0.443736,0.697277,1.956714
38280.664860,0.382667,-0.025700,0.288463,1.724845,0.089831,0.278657,3.099403,0.899374
38280.668868,0.430611,-0.022969,0.305691,1.938174,0.161180,0.253456,3.452956,1.121316
38280.672876,0.207335,-0.060014,0.384063,0.770605,-0.327382,1.048665,1.077532,-0.123609
38280.676871,0.338421,-0.144443,1.027935,0.596580,0.123020,2.005458,-0.103156,1.419526
38280.680874,0.381742,-0.166291,1.144311,0.708833,0.119031,2.253786,-0.048810,1.454497
38280.684855,0.173811,-0.075074,0.644868,-0.029290,0.629201,0.865368,-0.064777,2.156262
38280.688856,0.264473,0.017160,1.186760,-0.251641,1.843427,0.081793,2.043779,1.285731
38280.692872,0.298846,0.012129,1.331871,-0.283306,2.036301,0.161236,2.161246,1.563970
38280.696887,0.128091,0.083086,0.510352,0.009975,0.918760,-0.369824,1.367439,-0.146674
38280.700909,0.178510,0.311302,0.534775,0.648663,0.900501,1.043326,1.213896,1.328656
38280.704919,0.202656,0.341003,0.618787,0.695047,1.063612,1.102693,1.460057,1.364040
38280.708852,0.078165,0.271486,0.102169,0.731981,-0.042749,1.349699,-0.137735,1.433575
38280.712435,0.090172,0.638087,-0.146448,1.620113,-0.161205,1.821572,0.575972,1.729600
38280.715936,0.103338,0.708259,-0.146123,1.793590,-0.217613,2.064483,0.598997,2.076420
38280.720986,0.043222,0.758760,-0.174571,1.197309,0.774985,0.352277,2.453674,-0.185920
38280.725020,0.050434,0.846550,-0.211637,1.366261,0.819067,0.458098,2.690073,-0.312513
38280.729293,0.004273,0.454851,0.025493,0.363693,0.887420,-0.112622,1.130441,0.884358
38280.733009,-0.025046,0.757240,0.374556,0.076726,1.927237,0.556571,0.232184,3.115133
38280.737078,-0.026302,0.858872,0.400422,0.102707,2.170044,0.543027,0.332587,3.474506
38280.740997,-0.032289,0.394692,0.411329,-0.239810,0.801633,1.107363,-0.325794,0.778806
38280.745008,-0.064037,0.534590,1.077843,-0.031744,0.236009,1.971670,1.456103,-0.732074
38280.748995,-0.071679,0.609047,1.192942,-0.073297,0.313091,2.245916,1.525384,-0.829188
38280.753015,-0.042461,0.209595,0.685975,0.312247,-0.193526,0.662265,2.915916,0.541596
38280.757032,-0.074181,0.184695,1.093082,1.168833,0.205573,0.057281,3.308470,3.321693
38280.761007,-0.083960,0.215908,1.225202,1.287054,0.211308,0.091555,3.888712,3.683406
38280.765017,-0.031492,0.008408,0.473837,0.945229,0.629494,0.058206,-0.103242,2.027406
38280.769029,-0.047502,-0.076229,0.453556,1.441797,1.836226,1.205255,0.001942,-0.492137
38280.773088,-0.054534,-0.081575,0.529158,1.638919,2.060035,1.274298,-0.100022,-0.428867
38280.777089,-0.005582,-0.096818,0.062128,0.501279,1.087430,1.120398,1.024535,0.466793
38280.781087,0.021104,-0.143547,-0.170395,0.127825,0.892479,1.955507,2.419738,2.718300
38280.785153,0.022586,-0.162853,-0.179570,0.180391,1.065708,2.275736,2.760708,3.020464
38280.789094,0.029646,-0.032729,-0.104754,-0.044456,-0.055419,0.313339,0.731386,1.326838
38280.793095,0.095847,0.068995,-0.047769,-0.108149,-0.456971,-0.095774,0.040362,-0.227781
38280.797113,0.105004,0.069801,-0.064116,-0.158505,-0.534072,-0.085590,0.060076,-0.163146
38280.801096,0.078123,0.134126,0.158705,0.164270,0.199299,0.111172,0.259687,0.186914
38280.805118,0.183968,0.421672,0.727807,1.104616,1.430965,1.791117,2.986386,3.716812
38280.809107,0.204272,0.464679,0.796250,1.203869,1.565048,1.962559,3.415830,4.259856
38280.813102,0.128225,0.339329,0.551626,0.864353,1.024172,1.512542,1.563507,1.347615
38280.817103,0.267575,0.718291,1.246155,1.420333,1.552673,1.112224,0.751665,-0.089197
38280.821118,0.298864,0.803378,1.393175,1.594835,1.769143,1.311016,0.926979,0.018253
38280.825091,0.172309,0.420020,0.670231,0.579335,0.310010,0.049597,-0.490334,-0.097516
38280.828635,0.340726,0.788401,0.882292,0.375950,-0.318813,-0.094823,0.973332,2.027008
38280.832646,0.380042,0.883448,1.006031,0.457075,-0.323722,-0.169261,0.987055,2.209241
38280.836605,0.207554,0.410468,0.292884,-0.095475,-0.000123,0.562973,1.599678,1.546487
38280.840619,0.382315,0.600238,0.122372,-0.234330,0.718054,2.410663,1.867733,0.278712
38280.844619,0.427726,0.680109,0.159249,-0.291145,0.746338,2.650516,2.152132,0.453904
38280.848597,0.227606,0.275841,-0.071325,0.051574,0.991033,1.163396,0.250515,-0.539769
38280.852673,0.406193,0.300359,-0.256295,0.854497,1.975439,0.506831,-0.455421,2.349170
38280.856827,0.455891,0.346404,-0.284542,0.920626,2.208703,0.661545,-0.573224,2.463223
38280.860620,0.230136,0.085009,0.004421,0.749474,0.798376,-0.390700,0.700869,1.495261
38280.864621,0.374926,0.013174,0.295073,1.513295,0.142520,0.350101,2.507050,0.717264
38280.868891,0.421791,0.020060,0.312105,1.701733,0.222035,0.327224,2.816834,0.976764
38280.872584,0.205490,-0.062316,0.378987,0.797407,-0.056366,1.047403,0.953505,-0.554728
38280.876681,0.335185,-0.117025,1.043346,0.643713,0.244699,2.195877,-0.000652,1.799343
38280.880685,0.377600,-0.128510,1.149046,0.757867,0.243563,2.514612,0.035567,1.845350
38280.884626,0.173466,-0.074048,0.694022,0.042871,0.598063,0.913756,-0.165542,1.744121
38280.888665,0.259715,-0.000743,1.150869,-0.238170,1.899612,-0.096089,1.869159,1.146388
38280.892741,0.293581,-0.007604,1.299523,-0.282728,2.084329,-0.052769,1.993998,1.442574
38280.896643,0.127933,0.068997,0.496306,0.018457,1.046239,-0.249317,1.566507,-0.092586
38280.900666,0.178466,0.308918,0.545170,0.584987,0.891022,0.883491,1.311006,1.329139
38280.904665,0.202598,0.338416,0.633786,0.617525,1.053321,0.905494,1.583296,1.324207
38280.908088,0.078145,0.268503,0.076943,0.669884,0.001845,1.319093,-0.418283,1.969880
38280.912931,0.090482,0.630104,-0.131305,1.637450,-0.186050,1.839996,0.415591,1.585316
38280.916231,0.103509,0.701304,-0.141740,1.813145,-0.216826,2.102727,0.376022,1.879112
38280.921157,0.044289,0.779400,-0.196391,1.290713,0.778892,0.174823,2.810498,-0.345909
38280.925168,0.051552,0.867382,-0.222938,1.474018,0.830842,0.280368,3.120071,-0.456688
38280.928910,0.002228,0.436821,0.035504,0.361455,0.895782,-0.251104,1.272871,1.578357
38280.933274,-0.018820,0.747297,0.390089,0.004120,1.833757,0.597237,0.075562,3.181251
38280.937162,-0.019532,0.840124,0.421507,0.029578,2.092104,0.596277,0.195933,3.636300
38280.940878,-0.046458,0.630835,0.843731,-0.190372,0.897636,2.331389,0.684400,0.215928
38280.944874,-0.051198,0.717293,0.933212,-0.240979,1.060525,2.596156,0.637850,0.394847
38280.948856,-0.040469,0.280750,0.589229,0.093121,0.017232,1.054874,1.107123,-0.375935
38280.952922,-0.070427,0.297414,1.124403,0.863987,-0.227535,0.469068,2.447403,1.999881
38280.956926,-0.078912,0.343577,1.259733,0.929707,-0.248147,0.613468,2.731208,2.110205
38280.960563,-0.032442,0.081492,0.592632,0.725196,0.134369,-0.215481,0.618113,1.474409
38280.964256,-0.051573,-0.023463,0.703360,1.423275,1.446910,0.415711,-0.546041,0.730794
38280.969515,-0.058693,-0.018067,0.809851,1.597413,1.581098,0.414531,-0.574807,0.939709
38280.972456,-0.027939,-0.085131,0.169776,1.001913,1.725411,1.846078,1.314936,0.151905
38280.975850,-0.032237,-0.092719,0.214049,1.148982,1.942137,2.043202,1.356654,0.107755
38280.980225,0.000896,-0.054329,0.000428,0.257773,0.790465,1.393719,1.340321,1.457601
38280.984564,0.043126,-0.065789,-0.212127,-0.002144,0.230032,0.859479,1.664137,2.801847
38280.988080,0.046273,-0.076457,-0.241343,0.007712,0.311404,1.045600,1.942578,3.174338
38280.992231,0.047155,0.025570,-0.022628,-0.175485,-0.304735,-0.087844,-0.198566,0.130932
38280.997049,0.124561,0.189213,0.238327,0.162250,0.097818,-0.052986,-0.073587,-0.107625
38281.000346,0.137384,0.204798,0.254033,0.159395,0.060851,-0.128332,-0.121476,-0.091044
38281.005030,0.094016,0.201304,0.317494,0.457796,0.586995,0.786878,0.914963,1.209659
38281.008990,0.212991,0.529312,0.978961,1.385213,2.035221,2.192152,2.696171,2.990984
38281.013060,0.236890,0.586553,1.084337,1.542368,2.255427,2.485743,3.011081,3.396496
38281.017002,0.145381,0.363563,0.675171,0.848690,1.097879,1.042871,0.821085,0.608947
38281.020989,0.296076,0.749570,1.151289,1.351102,0.847150,0.302550,-0.347834,-0.216792
38281.024996,0.330416,0.841309,1.292433,1.548773,1.001718,0.401108,-0.319904,-0.283045
38281.028526,0.341940,0.799363,0.870503,0.395575,-0.141953,0.130927,1.021019,2.139824
38281.032551,0.381430,0.893715,0.997325,0.475882,-0.167442,0.125739,1.051083,2.315675
38281.035684,0.210487,0.409092,0.291770,-0.005267,-0.016630,0.563186,1.355089,1.878470
38281.040099,0.385635,0.611883,0.122498,-0.335868,0.726829,2.347048,2.218704,-0.055506
38281.044457,0.432439,0.693576,0.151213,-0.379768,0.753660,2.608648,2.557070,0.124078
38281.047650,0.220224,0.275682,-0.041467,0.089639,0.941899,1.261214,0.130958,-0.204652
38281.052274,0.412358,0.301151,-0.181323,0.851649,1.925224,0.472130,-0.248376,2.691714
38281.056390,0.463012,0.346876,-0.201877,0.917960,2.207722,0.620400,-0.344046,2.972773
38281.061175,0.224343,0.074281,-0.024506,0.754674,0.774548,-0.437725,0.703603,1.683532
38281.065251,0.383919,-0.011393,0.299174,1.625981,0.143766,0.419984,2.874341,0.488181
38281.069114,0.432198,-0.009702,0.315904,1.819998,0.219772,0.411013,3.222450,0.713190
38281.073166,0.202876,-0.052251,0.383667,0.698802,-0.312404,1.030109,1.129117,-0.290000
38281.077238,0.331479,-0.140889,1.046656,0.623689,0.099747,2.116535,-0.062553,1.329495
38281.081254,0.373698,-0.160153,1.157837,0.734057,0.083780,2.412685,0.069073,1.371156
38281.085475,0.289434,-0.043291,1.181703,-0.150111,1.435160,0.913527,0.463352,2.619421
38281.088258,0.327449,-0.053070,1.319174,-0.158865,1.566968,1.119633,0.417925,3.070193
38281.092501,0.144479,0.004630,0.633443,-0.144279,1.000965,-0.070827,1.283383,0.162950
38281.095883,0.208374,0.196279,0.808784,0.234944,1.463965,-0.095045,2.257852,-0.418036
38281.100694,0.236272,0.212695,0.926108,0.232448,1.665678,-0.167679,2.622310,-0.519011
38281.103977,0.094016,0.200907,0.240342,0.464691,0.364873,0.751797,0.316044,1.148560
38281.109345,0.120856,0.540766,0.067215,1.497165,-0.108415,2.018076,-0.597253,2.777229
38281.113332,0.137629,0.599734,0.090456,1.649342,-0.120352,2.243730,-0.645117,3.131579
38281.116620,0.044983,0.390868,-0.073167,1.009286,-0.251420,1.059564,0.504896,0.477400
38281.120399,0.036338,0.794801,-0.077696,1.276874,0.764153,0.368629,2.687270,-0.637525
38281.124673,0.042269,0.889804,-0.090533,1.450620,0.807262,0.468835,2.931769,-0.762090
38281.128372,-0.001394,0.448499,0.015352,0.362695,1.056498,-0.075225,1.161004,0.867807
38281.133376,-0.020384,0.759117,0.370985,-0.058192,2.046311,0.547037,0.186842,2.699811
38281.136706,-0.021370,0.856895,0.395791,-0.023543,2.289127,0.530534,0.289321,3.038323
38281.140717,-0.022242,0.381133,0.429171,-0.174690,0.787520,0.979621,0.022370,0.787160
38281.144722,-0.063130,0.511015,1.034440,0.034134,0.154696,2.352213,1.368042,0.043637
38281.148479,-0.070136,0.581076,1.157867,0.020252,0.231529,2.635490,1.419453,0.075077
38281.152089,-0.034226,0.207977,0.704610,0.313010,-0.183701,0.692540,1.755849,0.594796
38281.156599,-0.062321,0.177873,1.180284,1.287631,0.131221,0.000693,1.772243,2.856864
38281.159878,-0.071019,0.208071,1.333974,1.418257,0.116480,0.008207,2.118021,3.125346
38281.164630,-0.031348,0.037526,0.493890,0.954420,0.595358,-0.010480,-0.006378,1.063653
38281.168610,-0.033597,-0.105991,0.439462,1.423213,1.976425,1.342856,-0.218690,0.128784
38281.172044,-0.038836,-0.115530,0.513835,1.633173,2.168710,1.419538,-0.339319,0.207553
38281.176939,-0.012933,-0.081534,0.069656,0.484896,0.941887,1.312475,1.059134,0.757596
38281.180729,0.023125,-0.080379,-0.053611,0.241964,0.890990,1.824063,2.775616,3.251174
38281.183902,0.024391,-0.092009,-0.053519,0.291488,1.048942,2.125498,3.091573,3.557138
38281.188726,0.067465,-0.016890,-0.121385,-0.118810,-0.238540,-0.047993,0.318251,1.457229
38281.192732,0.073152,-0.027272,-0.134698,-0.128151,-0.237959,0.011821,0.485222,1.777891
38281.195930,0.059634,0.078581,0.021091,-0.022753,-0.119716,-0.045659,-0.118515,-0.643454
38281.200892,0.154679,0.306944,0.450661,0.624372,0.792682,0.993161,0.903253,1.446462
38281.205009,0.171470,0.335336,0.484938,0.665147,0.830486,1.036563,0.904341,1.482574
38281.208754,0.111241,0.270746,0.468475,0.730851,0.879984,1.092644,1.496545,1.612899
38281.212746,0.244014,0.643569,1.087162,1.561472,1.751033,2.213593,3.037344,1.683061
38281.216760,0.271806,0.713684,1.203532,1.738910,1.984855,2.529886,3.388902,2.035634
