lsl_time,CZ,C3,CPZ3,FC4,FC3,CPZ4,C4,CPZ
38732.820640,59.014130,16.745203,19.573320,84.945976,28.719887,26.491884,19.795416,24.661190
38732.824640,318.846527,79.917305,96.732872,470.403168,148.977066,136.271622,95.867485,124.323631
38732.828640,498.546570,121.742401,148.494507,738.908081,231.039963,210.965302,146.520660,191.675552
38732.832640,544.569824,128.428329,158.247101,811.395386,249.606720,227.394867,155.315414,205.531540
38732.836640,523.497803,118.929153,148.143326,783.765869,237.124680,215.546036,144.658340,193.774750
38732.840640,506.904480,114.812996,143.107285,758.736755,229.316666,208.516129,139.800903,187.367844
38732.844640,516.314636,121.151825,149.443268,769.058228,236.157913,215.294754,146.804977,194.402634
38732.848640,549.969116,133.494232,163.099915,815.664856,254.355759,232.363220,160.971130,210.805695
38732.852640,590.511963,146.277039,177.678513,873.028564,274.890106,251.485855,175.916153,228.828995
38732.874789,230.863434,48.974892,62.298042,348.595367,102.410645,92.629822,60.152206,82.517639
38732.878789,383.433197,88.389938,109.612526,572.373108,174.349213,158.611725,107.290970,143.003098
38732.882789,451.533295,109.718811,134.005524,668.946960,208.750427,190.617981,132.231674,173.150314
38732.886789,480.555634,117.573860,143.356812,711.652649,222.746475,203.505600,141.559799,184.949600
38732.890789,477.599274,112.525482,138.734512,711.632751,218.841660,199.419556,136.158951,180.158432
38732.894789,436.865601,99.126869,123.589806,654.330078,197.880264,179.861038,120.568718,161.594833
38732.898789,394.731140,91.194496,113.071945,589.255127,179.729019,163.584518,110.643921,147.405701
38732.902789,396.802734,96.912262,118.221161,587.289612,183.821945,167.986496,116.708168,152.616119
38732.906789,435.460083,107.399246,130.645889,643.781860,202.392624,185.095352,129.186066,168.357742
38732.910789,464.848053,109.467575,134.921448,692.192627,212.915985,194.065094,132.533752,175.327606
38732.914789,474.340363,105.297836,132.049362,712.195435,213.346664,193.628845,128.618439,173.486450
38732.918789,486.399414,106.352798,134.022446,732.358093,217.884521,197.552094,130.183701,176.508316
38732.926280,55.740078,19.490324,21.685822,77.214790,29.451086,27.519960,22.481092,26.362875
38732.930280,235.743958,60.054096,72.335953,347.015747,110.802818,101.447922,71.878365,92.714615
38732.934280,286.125183,66.759476,82.471207,426.848694,130.755417,118.962662,80.823013,107.352699
38732.938280,266.216858,58.411304,73.511955,400.495453,119.394363,108.134468,71.340820,96.751877
38732.942280,244.519272,55.103767,68.791252,366.276062,110.497765,100.292549,67.104439,90.107979
38732.946280,239.306198,58.574890,71.398186,354.000916,110.939270,101.318558,70.543068,92.126045
38732.950280,237.866882,59.484394,72.104828,350.771027,111.073418,101.604767,71.395546,92.641060
38732.954280,229.844604,53.791916,66.476250,342.537903,105.138268,95.755043,65.132980,86.409271
38732.958280,219.733795,47.846226,60.416855,330.878357,98.345146,89.182899,58.584690,79.598610
38732.962280,216.418777,48.697258,60.850384,324.358521,97.768448,88.902634,59.396515,79.736061
38732.966280,218.941833,53.876930,65.574051,323.787811,101.657310,93.011688,64.911331,84.559792
38732.970280,217.526978,54.650394,66.147842,320.705261,101.669357,93.116051,65.629425,84.953941
38732.974280,207.484253,48.298565,59.784760,309.557861,94.671181,86.192650,58.545624,77.792366
38732.978280,195.902252,41.932114,53.259369,295.700592,87.173241,78.891342,51.404266,70.349602
38732.982280,192.191315,42.809372,53.687939,288.431030,86.523270,78.531570,52.189411,70.432594
38732.986280,195.189774,48.284092,58.686470,288.361664,90.773270,83.010872,58.073627,75.593140
38732.990280,194.742874,49.356678,59.572247,286.633331,91.287758,83.665817,59.233521,76.426041
38732.994280,185.813889,43.242844,53.493099,277.227264,84.788757,77.339012,52.547230,69.686867
38732.998280,174.481064,36.964226,47.074615,263.877533,77.434540,70.240685,45.537922,62.370270
38733.002280,167.268097,37.173714,46.658199,251.389694,75.294487,68.444611,45.385784,61.242420
38733.006280,160.259735,40.542980,48.997913,236.148102,75.098274,68.779404,48.554588,62.816795
38733.010280,150.748886,39.617657,47.361130,220.542694,71.473373,65.670586,47.264771,60.348404
38733.014280,164.533951,38.155838,47.238472,245.274750,74.872162,68.312431,46.401581,61.602684
38733.018280,247.061752,51.395153,65.810547,374.077759,108.933556,98.641312,63.511238,87.513489
38733.022280,359.897003,76.303497,97.194763,544.672729,159.802933,144.796387,93.872116,128.649521
38733.051735,238.769043,60.490940,73.085236,351.447662,111.956299,102.442184,72.425026,93.669174
38733.055735,419.547302,101.926376,124.618385,622.279907,194.149567,177.318115,122.802238,160.919205
38733.059735,497.791443,117.506073,144.844696,741.627869,228.264343,208.182175,142.198578,188.045868
38733.063735,498.404388,114.818886,142.488510,744.670227,226.707916,206.491440,139.496017,185.893127
38733.067735,464.138458,106.694534,132.429138,693.123718,210.854340,192.052444,129.716492,172.917007
38733.071735,431.868958,101.753616,125.388771,642.785400,197.709015,180.361176,123.246674,162.968613
38733.075735,426.615601,102.554810,125.708672,633.814453,196.676468,179.604965,123.777336,162.679886
38733.079735,445.604248,106.420166,130.729156,662.934937,205.068375,187.161545,128.528152,169.320465
38733.083735,469.781799,110.587990,136.376022,699.662048,215.107986,196.170593,133.900497,177.166412
38733.087735,496.564423,116.068550,143.358429,739.295715,226.706650,206.685028,140.758911,186.588943
38733.091735,519.991394,117.841232,146.863693,777.463562,235.109329,213.998001,143.620270,192.284317
38733.069929,38.920929,5.113811,7.724563,61.360023,15.305709,13.574883,7.062337,11.300637
38733.073929,224.095367,49.996223,62.591396,335.945801,100.883369,91.772026,61.198856,82.237976
38733.077929,289.218262,69.227173,84.926613,429.655182,133.138016,121.584435,83.721870,110.074478
38733.081929,278.969543,69.211075,84.077644,412.528992,129.970474,118.892067,83.180702,108.201294
38733.085929,250.660049,60.458126,74.044151,372.280060,115.728271,105.643806,72.916794,95.749329
38733.089929,231.413361,52.039028,65.044411,346.859375,104.472359,94.977905,63.434734,85.218491
38733.093929,227.298676,50.541279,63.370659,341.003265,102.214493,92.898079,61.745071,83.227524
38733.097929,231.442383,55.052742,67.661850,344.110504,106.295242,97.017021,66.593330,87.767479
38733.101929,231.628510,57.849915,70.128227,342.150055,108.118004,98.940575,69.480621,90.151566
38733.105929,222.592911,53.924152,65.933556,330.292969,102.896507,93.912071,65.017532,85.227890
38733.109929,211.117661,47.264477,59.136791,316.487122,95.188347,86.432327,57.645462,77.573906
38733.113929,206.724472,45.482250,57.205837,310.449646,92.688812,84.162140,55.649765,75.300285
38733.117929,208.987335,49.533913,60.945923,310.812897,95.890938,87.594444,59.968929,79.123787
38733.121929,208.252457,52.368408,63.362930,307.243866,97.423073,89.338509,62.865261,81.366974
38733.125929,199.057251,48.625839,59.294331,294.946625,92.242691,84.307617,58.562756,76.540146
38733.129929,187.587296,41.864639,52.385586,281.333649,84.479149,76.617928,51.035160,68.763611
38733.133929,183.501892,39.875664,50.298500,276.152496,81.985687,74.176285,48.772888,66.343628
38733.137929,186.798126,44.131294,54.333145,278.126831,85.669296,77.992851,53.300568,70.523399
38733.141929,186.857193,47.474030,57.300415,275.306335,87.748436,80.375946,56.768101,73.368568
38733.145929,174.498718,43.285145,52.604889,257.844299,81.257561,74.365028,51.927010,67.644539
38733.149929,152.174423,33.717434,42.346699,228.261139,68.348221,62.036743,41.077522,55.586224
38733.153929,137.164154,28.276939,36.323143,207.742691,60.331917,54.417648,34.796188,48.305744
38733.157929,163.117126,37.248726,46.360783,244.152451,74.040291,67.283127,45.194180,60.517899
38733.161929,264.227905,66.049484,80.044411,390.209839,123.411728,113.018661,79.305977,102.903214
38733.165929,388.415283,99.754158,119.920593,570.345642,182.876602,167.864243,119.451263,153.543060
38733.179627,231.042831,49.147247,62.468952,348.641663,102.569214,93.041763,60.429531,82.725975
