lsl_time,CZ,C3,CPZ3,FC4,FC3,CPZ4,C4,CPZ
38513.037078,102.275551,20.634382,25.796654,156.157715,43.455818,41.072296,25.088236,35.331272
38513.041078,321.382446,60.608685,77.210724,493.493408,133.670334,126.059700,74.609177,107.509094
38513.045078,455.909912,81.895538,105.806763,702.936279,186.849503,175.930740,101.750854,149.112610
38513.049078,506.736847,88.334373,115.122940,782.800049,205.781387,193.605759,110.462334,163.511978
38513.053078,535.173523,96.015472,124.037338,823.994141,219.059967,206.353775,119.501892,174.989731
38513.057078,554.179443,105.003593,133.552673,848.994995,230.620514,217.650925,129.378342,185.873322
38513.061078,553.189392,108.235542,136.497559,845.451904,232.648392,219.770523,132.538284,188.395309
38513.065078,550.911499,110.946846,138.819046,839.531555,233.809860,221.091782,135.187408,190.259964
38513.089171,211.398758,36.029572,47.277725,326.868500,85.224823,80.229309,45.343204,67.555527
38513.093171,381.883484,70.862144,90.642250,585.773621,157.843170,148.901337,87.713020,126.845573
38513.097171,428.133362,82.450638,104.369865,654.722473,179.058792,169.055817,101.317467,144.702621
38513.101171,417.241760,80.302536,101.698898,638.886047,174.619217,164.789368,98.623039,140.962173
38513.105171,408.733429,75.806488,97.028282,628.469482,169.225555,159.435745,93.698280,135.690826
38513.109171,406.287292,73.383842,94.619354,625.748230,166.830078,156.996338,91.178322,133.236252
38513.113171,395.944916,72.837990,93.378693,608.150208,163.372192,153.831375,90.237000,130.957504
38513.117171,380.318268,72.513191,92.023842,582.311768,158.649994,149.598602,89.265656,127.925400
38513.121171,373.641632,71.654709,90.829468,572.559875,156.266388,147.409561,88.100319,126.026184
38513.125171,381.625366,71.748337,91.477119,586.252930,158.715424,149.607498,88.531319,127.514626
38513.129171,402.986481,75.917915,96.686211,618.266602,167.628723,157.980087,93.695564,134.775391
38513.133171,443.164581,85.016418,107.647530,677.758057,185.243698,174.655289,104.645462,149.484528
38513.137171,480.927094,87.132759,112.142349,739.447388,197.575363,185.928238,108.411324,157.945312
38513.152558,228.686234,42.679745,54.533169,351.937683,94.984283,89.433220,52.734959,76.123825
38513.156558,365.018250,65.246681,84.367432,563.290222,149.584549,140.657272,81.305725,119.111038
38513.160558,418.657135,72.758354,94.819618,647.026550,170.076614,159.791458,91.200256,134.888000
38513.164558,448.837372,80.890862,104.249603,690.928223,184.188614,173.259537,100.692421,147.026306
38513.168558,460.768341,88.658813,112.152206,705.000854,192.853592,181.793472,108.976242,155.619827
38513.172558,429.685486,84.473679,106.261185,656.488892,181.111832,170.825882,103.357040,146.612625
38513.176558,379.654907,70.696960,90.314568,583.344055,157.407501,148.177246,87.308311,126.247643
38513.180558,366.814972,63.523762,82.875923,567.038330,148.812057,139.750916,79.562317,117.991043
38513.184558,402.991638,71.036720,92.154076,621.653137,164.264069,154.376877,88.725487,130.680298
38513.188558,445.444885,83.823593,106.702789,683.263794,185.177689,174.437881,103.437210,148.880539
38513.192558,470.274658,92.802277,116.601036,718.491699,198.483398,187.285370,113.527245,160.776382
38513.196558,491.436951,101.275986,125.737099,747.227844,210.250046,198.699432,122.999481,171.605148
38513.181825,38.060993,3.073064,5.355683,61.043743,13.001636,11.985545,4.786777,9.320227
38513.185825,215.685074,38.113110,49.383240,332.292603,87.942223,82.700989,47.652927,70.041054
38513.189825,277.496826,53.754795,67.869843,424.351074,116.405266,109.760139,65.991333,94.042290
38513.193825,266.591705,53.631084,67.040642,406.507477,113.238235,106.877342,65.359909,92.002357
38513.197825,238.933502,45.659760,57.897465,366.250519,99.880623,94.107491,56.171337,80.453880
38513.201825,220.997864,38.230854,49.889221,341.571533,89.633446,84.209435,47.986626,71.084793
38513.205825,217.778366,37.554985,49.040871,336.501556,88.200745,82.876068,47.201550,69.950089
38513.209825,221.613159,42.219570,53.559452,339.556610,92.473671,87.150520,52.026512,74.508759
38513.213825,221.146957,44.833546,55.921455,337.078674,94.149292,88.861252,54.569305,76.590057
38513.217825,212.425278,41.140991,51.955029,325.267761,89.142593,83.962448,50.440800,71.953056
38513.221825,202.012894,35.117371,45.730663,312.126160,82.024765,76.991692,43.952877,65.082672
38513.225825,198.083054,33.718861,44.174202,306.466309,79.916603,75.022255,42.422455,63.227032
38513.229825,199.658783,37.571323,47.807549,306.379852,83.006607,78.234802,46.390846,66.727959
38513.233825,198.333740,40.280575,50.209015,302.328552,84.509369,79.877670,49.069347,68.761078
38513.237825,189.819473,37.087967,46.724888,290.400604,79.904099,75.437904,45.517838,64.600021
38513.241825,179.601135,31.088156,40.557724,277.575378,72.859131,68.533127,39.077553,57.796261
38513.245825,175.837051,29.298382,38.683018,272.583923,70.528069,66.271507,37.111893,55.640182
