lsl_time,CZ,C3,CPZ3,FC4,FC3,CPZ4,C4,CPZ
38876.648853,121.970703,33.628296,40.714550,181.427658,60.742306,54.739727,38.857960,49.907177
38876.652853,382.003784,103.834854,124.706100,563.278076,186.927078,168.048553,122.372055,155.898651
38876.656853,561.796936,151.421722,181.420181,826.305847,272.778259,244.940414,179.944687,228.683914
38876.660853,618.508789,164.725082,197.528046,910.619995,298.438629,267.672821,196.915573,250.404175
38876.664853,628.465515,165.406128,199.046097,928.718140,302.264313,270.889648,198.170181,252.794876
38876.668853,658.232910,172.417313,207.501831,972.772827,315.701599,282.782043,207.120041,264.229034
38876.660929,420.129822,113.136154,135.860504,619.707458,204.544449,183.435593,133.963348,170.703873
38876.664929,638.794739,171.273544,204.715820,937.674927,308.573792,276.452972,204.634918,259.591064
38876.668929,735.721924,197.575150,236.045410,1079.355957,355.565918,318.569366,235.959076,299.233124
38876.743557,149.879242,39.296299,48.031239,224.913345,73.151711,65.750412,46.169273,59.809162
38876.747557,323.005096,85.837769,104.165764,481.470947,157.772293,141.742630,101.057228,130.000412
38876.751557,367.667023,98.338074,118.532631,544.354065,178.970261,160.739090,116.427765,148.800980
38876.755557,362.640076,97.254158,116.178627,532.028625,175.069046,157.114136,116.405769,147.488342
38876.759557,362.655487,96.818512,115.424988,531.026672,174.209641,156.205505,116.527771,147.325684
38876.763557,357.953796,94.949768,114.065994,528.270203,172.735123,154.813171,113.509644,144.535431
38876.767557,334.943146,88.774254,107.469658,498.129974,162.929794,146.007156,105.014893,134.737122
38876.771557,313.075256,83.503929,100.792534,464.169983,152.398224,136.552765,98.791100,126.426247
38876.775557,317.669769,85.176895,101.765495,466.061737,153.404053,137.406677,101.898079,129.137375
38876.779557,340.102112,90.988731,108.454910,497.836548,163.600189,146.505722,109.360855,138.274033
38876.783557,346.459778,92.219704,110.779358,511.243561,167.577530,150.125687,110.004112,140.102493
38876.787557,322.863861,85.809631,103.871010,480.190155,157.355118,141.093521,101.366936,130.055161
38876.791557,294.045013,78.516090,94.705727,435.855499,143.207764,128.468796,92.951263,118.849998
38876.795557,289.273438,77.694138,92.589828,423.656830,139.588654,125.130028,93.188515,117.790504
38876.799557,306.499146,82.374527,97.861305,447.565857,147.509079,132.110138,99.165291,124.982498
38876.803557,331.706055,88.869087,106.672005,489.586578,161.189529,144.363678,105.657883,134.481659
38876.807557,378.065521,100.647118,122.238304,564.743652,185.381760,166.056183,118.151108,152.099182
38876.811557,438.725494,115.172417,140.141266,656.471191,213.687683,191.201019,136.017792,175.347122
38876.739825,130.781097,35.777412,41.877956,187.997528,62.557507,56.100231,43.516682,54.078617
38876.743825,312.622406,82.864853,99.160233,460.035248,150.337158,134.533264,99.595398,126.346405
38876.747825,367.703644,96.618843,116.360474,544.591431,177.115402,158.385178,115.658890,147.653595
38876.751825,354.575897,93.924110,113.282570,525.786194,171.894974,153.853607,111.614632,142.774872
38876.755825,334.986969,90.320457,108.624794,495.115112,163.643860,146.766815,106.638519,136.083435
38876.759825,325.166046,88.004440,105.526993,479.104431,158.699295,142.450592,104.175308,132.498291
38876.763825,319.563263,85.072624,102.117172,471.477661,154.579300,138.611526,101.648186,129.272232
38876.767825,314.830109,82.592346,99.466965,466.097748,151.489227,135.724197,99.164368,126.414597
38876.771825,312.272003,82.560608,99.482941,462.507233,151.092072,135.472443,98.574318,125.764717
38876.775825,311.370392,83.906036,100.819565,459.785004,152.000961,136.444519,99.370277,126.545723
38876.779825,309.028809,83.571754,100.227341,455.464661,150.909760,135.377106,98.964684,125.861755
38876.783825,304.062317,80.806419,97.089020,449.112091,147.216370,131.712860,96.399345,122.810722
38876.787825,298.584900,78.156944,94.175026,442.356812,143.679794,128.275955,93.688232,119.677025
38876.791825,292.813782,77.324242,93.123764,433.530609,141.572159,126.501274,92.239090,117.824463
38876.795825,282.906677,76.341133,91.681274,417.516113,138.164536,123.772675,90.225777,115.034721
38876.799825,271.697601,73.717941,88.526237,400.863647,133.115524,119.351227,86.839478,110.747940
38876.803825,284.631714,75.657494,91.233330,421.846741,138.330475,123.772598,89.733398,114.805206
38876.807825,358.467926,93.541634,112.873413,531.831421,172.388596,153.949463,112.163353,143.423553
38876.811825,459.140594,119.761505,143.540543,676.780334,219.126129,195.649368,145.052338,184.201797
38876.823663,233.495956,63.623943,76.071381,343.398590,114.187538,102.506081,75.256187,95.494812
38876.827663,414.812439,111.819817,133.423096,608.610779,200.991272,180.256897,133.537170,169.063950
38876.831663,458.503296,122.242920,146.227692,674.427307,221.236526,198.214493,146.462631,185.818771
38876.835663,442.065460,116.619263,140.390060,654.344238,213.365677,191.004974,139.406799,177.898911
38876.839663,434.916382,114.885757,138.767487,645.730286,210.808289,188.790207,136.610077,174.899597
38876.843663,438.455811,117.176231,140.964111,648.130493,213.063950,191.008728,139.166290,177.521927
