lsl_time,CZ,C3,CPZ3,FC4,FC3,CPZ4,C4,CPZ
39438.149527,60.373032,21.591516,25.057076,85.910690,32.974529,27.943863,24.778746,29.563530
39438.153527,351.249512,129.018784,148.816605,499.375946,194.432755,165.416183,147.509201,174.662003
39438.157527,555.602356,204.495346,235.812042,790.401733,307.965424,262.054596,233.713974,276.591858
39438.161527,610.516663,222.972595,257.818481,871.803040,337.658020,286.814850,254.963089,302.491638
39438.165527,586.397522,210.734039,244.950821,842.511841,322.610199,273.092377,241.287033,287.720123
39438.169527,564.297913,201.093277,234.335983,812.751404,309.522614,261.556458,230.426926,275.474823
39438.173527,573.581787,206.941193,240.131744,822.056213,315.866058,267.598358,236.888046,282.073395
39438.177527,613.109375,225.307968,259.884918,872.849487,339.758270,288.920288,257.514038,304.862885
39438.181527,656.181580,242.368408,279.074158,931.886108,364.179352,310.041779,276.901886,327.292175
39438.177354,258.583618,90.407837,106.014587,375.281189,141.069122,118.688683,103.800186,124.813133
39438.181354,424.888367,151.654602,176.551193,611.245056,233.162750,197.083481,173.832794,207.628922
39438.185354,497.911346,180.728775,209.210266,711.351379,274.626953,232.983017,206.861359,245.776306
39438.189354,532.855103,195.235153,225.368332,759.016296,294.873993,250.615585,223.219498,264.501587
39438.193354,534.821899,195.048172,225.576691,764.078735,295.654236,250.974945,223.012573,264.717865
39438.197354,490.560699,176.760254,205.256271,704.324402,270.144775,228.724243,202.285461,241.049622
39438.201354,439.097534,157.656006,183.229691,630.592529,241.394730,204.241806,180.503967,215.308655
39438.205354,437.151520,158.931503,183.903732,624.064880,241.186188,204.608536,181.795563,215.976974
39438.209354,481.314301,176.405304,203.619431,685.200378,266.314880,226.328735,201.640381,238.964096
39438.213354,518.380920,188.211441,217.987518,741.466553,286.076355,242.701263,215.303482,255.926361
39438.217354,532.641418,190.397278,221.715652,767.085449,292.558594,247.458786,218.099289,260.534088
39438.221354,551.081970,197.889740,230.173737,793.057495,303.272186,256.750427,226.538742,270.287537
39438.220234,58.289368,24.009630,26.669180,78.293930,33.399586,29.213245,27.235905,31.130470
39438.224234,260.760468,96.959557,111.401459,369.026978,144.921753,123.605637,110.698029,130.614670
39438.228234,320.507080,116.472198,134.875259,458.399414,176.925034,150.130051,133.208984,158.316116
39438.232234,299.866364,107.032066,124.693130,432.112518,164.622086,139.161774,122.605759,146.531754
39438.236234,273.059265,97.523338,113.548920,393.027924,149.882202,126.700806,111.718323,133.480316
39438.240234,263.818481,96.114159,111.127045,376.318817,145.676407,123.583168,109.894135,130.499008
39438.244234,262.499146,96.648979,111.369553,372.972290,145.489761,123.566269,110.337685,130.653305
39438.248234,257.107971,93.453087,108.191704,367.769623,142.031662,120.183098,106.728836,126.955338
39438.252234,248.048035,88.548759,103.154343,357.660095,136.314926,114.893959,101.256561,121.154556
39438.256234,242.335495,86.815323,100.983330,348.639679,133.274292,112.526497,99.299561,118.627823
39438.260234,241.635269,88.374146,102.042130,344.284027,133.671051,113.502693,101.011719,119.790985
39438.264234,239.773392,88.356308,101.755493,340.577118,132.946182,113.148972,101.008636,119.426720
39438.268234,231.892853,84.005310,97.317688,332.138428,127.942757,108.503456,96.187851,114.315742
39438.272234,221.611969,78.748955,91.843597,320.171722,121.580254,102.659393,90.296440,107.983948
39438.276234,215.914673,77.270744,89.894592,310.815796,118.680519,100.328285,88.542519,105.651665
39438.280234,215.508911,78.964920,91.125221,306.770203,119.271118,101.306717,90.311790,106.966530
39438.284234,213.942398,78.796463,90.794327,303.754303,118.593468,100.828796,90.062477,106.535065
39438.288234,206.853592,74.556442,86.590805,296.688080,113.952675,96.435905,85.323669,101.685844
39438.292234,197.262726,69.770111,81.609283,285.511169,108.098869,91.096344,79.926430,95.889862
39438.296234,188.363693,67.550827,78.646057,271.074188,103.641724,87.549644,77.270882,92.320709
39438.300234,176.633301,65.249321,75.170509,250.571350,97.992088,83.280273,74.458710,88.126839
39438.304234,163.545776,60.415749,69.560440,231.506012,90.633255,77.086609,68.964584,81.603966
39438.308234,180.633209,64.006889,74.744385,260.263336,98.818474,83.424782,73.351204,87.915092
39438.312234,278.287720,97.436058,114.333130,404.071381,151.894882,127.934242,111.778954,134.473801
39438.316234,412.796051,148.691574,172.923126,594.219299,227.596069,192.734116,170.100403,202.844940
39438.323745,257.334991,95.413757,109.715393,364.600433,142.929031,121.698906,108.975121,128.671234
39438.327745,453.214569,167.614166,192.991760,643.692383,251.677216,214.170242,191.401276,226.252625
39438.331745,497.755981,182.013321,210.394913,710.481079,275.449921,233.859390,207.983276,246.791138
39438.335745,477.257385,171.123444,199.096115,686.214783,262.404907,221.912231,195.831223,233.858444
39438.339745,469.656799,167.142120,194.909546,676.636108,257.522522,217.486450,191.425018,229.115601
39438.343745,476.190216,172.060287,199.605499,681.844421,262.356628,222.268082,196.870285,234.423096
39438.347745,468.360199,172.098251,198.562271,666.583313,259.525208,220.586395,196.675095,232.901459
39438.351745,443.899567,162.498718,187.739624,633.102295,245.746216,208.668228,185.753220,220.227463
39438.355745,427.696564,153.284988,178.331955,614.998596,235.156219,198.821945,175.512756,209.506668
39438.359745,436.207397,154.961212,180.782593,629.077637,239.100021,201.838547,177.568512,212.560013
39438.363745,466.896301,168.681046,195.670929,669.053101,257.290283,217.969162,193.033432,229.821243
39438.367745,519.812866,191.625031,220.810226,739.209839,288.343384,245.303314,218.948349,258.998688
39438.371745,575.114929,212.831451,244.887482,815.932739,319.312469,271.905396,243.132462,287.233490
39438.470647,41.685829,11.576252,14.807089,64.830704,21.215378,17.062538,13.517707,17.676954
39438.474647,247.428268,86.872635,101.772568,358.040894,135.075073,113.755669,99.616501,119.740784
39438.478647,320.839020,116.591835,135.009460,458.393005,177.119797,150.219879,133.360825,158.502823
39438.482647,311.277191,115.569138,132.894669,441.208221,173.090530,147.411896,131.959778,155.789398
39438.486647,280.716125,103.412621,119.232368,399.334564,155.738953,132.336685,118.112259,139.819733
39438.490647,258.447296,92.257538,107.479973,372.154114,141.929245,119.760101,105.599724,126.292542
39438.494647,252.519592,89.181587,104.241409,364.881317,138.152893,116.352188,102.163483,122.599388
39438.498647,257.093719,93.316551,108.059631,367.530823,141.858368,120.249458,106.691849,126.883537
39438.502647,258.426849,96.223167,110.503059,365.856323,143.803894,122.605476,109.825630,129.522614
39438.506647,248.913513,91.757355,105.737473,353.959381,138.105118,117.493362,104.825294,123.987328
39438.510647,235.550766,83.886261,97.783920,339.473328,129.282928,109.159111,96.100616,114.909180
39438.514647,230.008209,81.056496,94.800644,332.674927,125.829239,105.956985,92.945175,111.503174
39438.518647,232.760818,84.596581,97.900276,332.623230,128.589752,108.912720,96.760429,114.945244
39438.522647,232.462784,86.808174,99.557526,328.634186,129.560928,110.291573,99.052292,116.696175
39438.526647,221.994919,81.814178,94.227669,315.518860,123.199211,104.544167,93.421562,110.547272
39438.530647,208.730240,73.954880,86.296753,301.269043,114.397652,96.270470,84.706627,101.503922
39438.534647,204.421310,71.766212,84.011101,296.143097,111.732414,93.858826,82.278091,98.863953
39438.538647,208.870392,76.125053,88.016991,298.335571,115.537544,97.858208,87.044121,103.312386
39438.542647,208.925949,78.453827,89.830620,294.786469,116.669556,99.537308,89.546539,105.249504
39438.546647,193.961685,71.614174,82.448875,275.381409,107.671844,91.658463,81.899445,96.733574
39438.550647,168.509369,59.122944,69.252083,243.987823,92.019272,77.580338,67.910454,81.517319
39438.554647,153.284027,52.923244,62.376419,223.559250,83.330048,70.011238,60.837181,73.447472
39438.558647,184.394745,67.170731,77.773811,263.842773,101.991226,86.557495,76.821411,91.214302
39438.562647,296.223816,110.931686,127.205063,418.688599,165.217346,140.949478,126.587852,148.999298
39438.566647,427.940826,159.142273,182.784729,605.229919,237.919830,202.702332,181.742630,214.347687
39438.571962,258.331512,90.364822,105.978035,374.933716,141.007675,118.563103,103.604759,124.694611
39438.575962,424.968262,151.871048,176.776016,611.044556,233.385040,197.131042,173.873276,207.784042
39438.579962,498.348206,181.156036,209.642838,711.367798,275.098022,233.180511,207.145691,246.181717
39438.583962,533.130127,195.474411,225.635727,758.868713,295.194550,250.635788,223.354721,264.738739
39438.587962,534.545532,194.863388,225.474350,763.498474,295.574127,250.639145,222.735748,264.517212
39438.591962,490.021149,176.410645,205.039047,703.583313,269.904327,228.289993,201.851532,240.673325
39438.595962,438.902618,157.577286,183.291565,630.172119,241.408218,204.132217,180.384171,215.233734
39438.599962,437.455780,159.208527,184.298935,624.048889,241.524155,204.892914,182.084900,216.304733
39438.603962,481.646545,176.699707,204.024918,685.191162,266.644012,226.612473,201.936340,239.307938
39438.607962,518.256470,188.197372,218.114151,741.084229,286.088409,242.611557,215.203293,255.901260
39438.611962,532.004395,190.032410,221.535767,766.286072,292.226562,246.968765,217.555908,260.093933
39438.615962,550.082092,197.229523,229.719406,791.954468,302.652802,255.951874,225.678818,269.532318
39438.686278,41.762775,11.675642,14.921990,64.805328,21.303282,17.123775,13.537766,17.757063
39438.690278,247.542313,87.017639,101.950180,358.054596,135.172592,113.850342,99.681755,119.867805
39438.694278,321.009308,116.779137,135.209946,458.515320,177.242279,150.384293,133.545105,158.680145
39438.698278,311.475891,115.764107,133.076797,441.422394,173.212601,147.656784,132.248291,155.989395
39438.702278,280.882111,103.562393,119.362976,399.557587,155.812805,132.627213,118.418198,139.994049
39438.706278,258.564148,92.353981,107.573677,372.335602,141.950882,120.039841,105.869720,126.430931
39438.710278,252.624649,89.262535,104.345428,365.039886,138.161758,116.568787,102.406349,122.733315
39438.714278,257.199738,93.394905,108.180016,367.678528,141.862259,120.392654,106.907089,127.027641
39438.718278,258.473999,96.250664,110.578911,365.927612,143.742432,122.684845,109.948196,129.634521
39438.722278,248.857819,91.704002,105.732971,353.899658,137.938354,117.511749,104.810349,124.030388
39438.726278,235.426483,83.789551,97.745407,339.316498,129.052643,109.125084,95.982170,114.901169
39438.730278,229.864120,80.961807,94.793709,332.474884,125.600853,105.880424,92.761391,111.470573
39438.734278,232.605789,84.508644,97.941673,332.395538,128.386917,108.810509,96.523163,114.888771
39438.738278,232.303467,86.718597,99.626648,328.399109,129.374969,110.229286,98.823402,116.627960
