lsl_time,CZ,C3,CPZ3,FC4,FC3,CPZ4,C4,CPZ
39851.201319,-0.039924,-0.091039,0.453947,1.299657,1.782888,1.364553,-0.158429,-0.068784
39851.205259,-0.045993,-0.098483,0.531369,1.470182,1.988878,1.447176,-0.257304,-0.108147
39851.209286,-0.005990,-0.068670,0.070450,0.517726,0.912522,1.360008,1.129433,0.194730
39851.213290,0.016252,-0.115255,-0.139628,0.227654,0.928398,1.757766,2.693800,3.368777
39851.217346,0.016895,-0.132261,-0.159512,0.281913,1.102738,2.038250,3.065845,3.708358
39851.221356,0.032909,-0.046336,-0.065157,-0.041166,0.009241,0.345448,0.742099,1.116393
39851.225329,0.095582,0.091860,-0.027533,-0.035681,-0.165756,-0.481573,-0.543401,0.112456
39851.229371,0.105373,0.093396,-0.045387,-0.060122,-0.181313,-0.541498,-0.533223,0.173272
39851.233383,0.078083,0.131278,0.173500,0.225782,0.172780,0.203790,0.233571,-0.001376
39851.237208,0.184149,0.420726,0.718546,1.029058,1.529788,1.867264,1.998419,2.542037
39851.241219,0.204452,0.464188,0.786119,1.125699,1.661715,2.030527,2.180650,2.807912
39851.245306,0.127574,0.332236,0.540595,0.870461,1.254438,1.513211,1.632458,1.462213
39851.249297,0.269670,0.685156,1.176960,1.622063,1.434840,1.198658,0.823708,0.083719
39851.253318,0.300269,0.763804,1.315193,1.824406,1.639646,1.415856,1.008584,0.183362
39851.257451,0.171811,0.454456,0.669157,0.653430,0.309968,0.126806,-0.095577,-0.200958
39851.261399,0.182465,0.438084,0.561978,0.363443,-0.088432,-0.149244,0.008523,0.863571
39851.265597,0.286593,0.608799,0.454651,0.038459,0.002442,0.738317,1.704273,3.043581
39851.268338,0.443060,0.888961,0.523876,-0.035387,0.104864,1.563621,2.938847,4.691692
39851.272713,0.508627,1.023956,0.609443,-0.049038,0.101251,1.769760,3.383548,5.765635
39851.276632,0.221013,0.322457,0.039409,-0.074708,0.576701,1.358337,0.906255,-0.019608
39851.280617,0.393802,0.420705,-0.158420,0.432536,1.726966,1.580261,-0.364069,0.458742
39851.284631,0.441561,0.481905,-0.177247,0.457432,1.907586,1.852530,-0.356863,0.407255
39851.288024,0.229605,0.137638,-0.119053,0.581914,0.949045,-0.025806,0.177482,1.524448
39851.292398,0.391683,0.060681,0.075666,1.628660,0.956250,-0.246097,2.115610,2.652379
39851.296606,0.440611,0.077795,0.070597,1.818541,1.131120,-0.289776,2.264204,3.098356
39851.300417,0.209027,-0.033818,0.229624,0.834659,0.004384,0.363293,2.994365,0.272571
39851.305477,0.361545,-0.124546,0.815379,1.067498,-0.211687,2.220293,2.080314,-0.158394
39851.309496,0.407153,-0.138492,0.897196,1.228093,-0.288764,2.425255,2.527056,-0.318558
39851.313486,0.181662,-0.057825,0.632409,0.217205,0.252139,1.306208,0.005559,1.480846
39851.317164,0.288357,-0.079131,1.229484,-0.149170,1.418654,0.882272,0.394139,2.420725
39851.321118,0.325892,-0.094586,1.371873,-0.146760,1.545851,1.092088,0.329874,2.791094
39851.324454,0.141001,0.012820,0.589096,-0.095266,1.107130,-0.247586,1.359390,0.146034
39851.328874,0.209064,0.199236,0.823964,0.217216,1.638806,-0.036872,2.161237,-0.358895
39851.332753,0.237025,0.216113,0.946681,0.223324,1.900217,-0.095898,2.467405,-0.512981
39851.336858,0.149303,0.432948,0.268399,1.083449,0.302430,1.735300,0.007171,2.589188
39851.340248,0.169847,0.476458,0.321245,1.178100,0.379528,1.910523,0.089451,2.818449
39851.344431,0.062416,0.336348,0.015985,0.843687,-0.244042,1.264156,0.037858,1.568605
39851.349247,0.066698,0.734674,-0.230010,1.444189,0.031627,1.177554,1.664609,-0.164659
39851.353485,0.076503,0.819996,-0.262324,1.623565,-0.004217,1.393079,1.748601,-0.062773
39851.358021,0.012954,0.428119,-0.063948,0.630010,0.582842,-0.022795,1.826337,-0.000750
39851.361542,-0.004681,0.811416,0.107752,0.399713,1.957301,0.127768,1.358925,2.550528
39851.365423,-0.004776,0.907660,0.106913,0.480049,2.185527,0.121818,1.606145,2.731534
39851.369348,-0.015177,0.404627,0.271347,-0.104688,1.069507,0.563193,-0.195326,1.372725
39851.373834,-0.047724,0.647725,0.879901,-0.069279,0.911391,2.124126,0.129560,0.092855
39851.376798,-0.053848,0.733161,0.969309,-0.084529,1.088344,2.346941,0.080971,0.271724
39851.380201,-0.071442,0.409409,1.259672,0.356261,-0.322576,1.594845,2.297752,0.248525
39851.385662,-0.080310,0.467555,1.406865,0.358538,-0.323960,1.858620,2.560987,0.110637
39851.388209,-0.044995,0.139071,0.686172,0.555194,-0.234883,0.118583,1.237593,1.517790
39851.393141,-0.050873,0.064293,0.937907,1.614795,0.797706,-0.050652,0.475742,4.670979
39851.397164,-0.057920,0.079239,1.077784,1.790180,0.838863,-0.049148,0.616519,5.401905
39851.400946,-0.023101,-0.042641,0.341217,0.840325,0.994675,0.416883,-0.429967,-0.069627
39851.404884,-0.016378,-0.110373,0.235035,1.052088,1.844559,2.042535,1.247169,-0.015425
39851.408867,-0.019525,-0.124511,0.280468,1.213612,2.104553,2.232657,1.304623,-0.089835
39851.412874,0.018249,-0.113166,-0.132739,0.207440,0.904631,1.730392,2.626689,2.971570
39851.417518,0.019088,-0.126943,-0.143325,0.256339,1.072999,2.003809,2.953439,3.249788
39851.420862,0.029076,-0.013300,-0.146580,-0.101326,-0.099629,0.280476,0.723727,1.296649
39851.424866,0.097055,0.098622,0.031845,-0.085871,-0.157737,-0.496579,-0.167719,-0.114270
39851.429062,0.106704,0.103992,0.029020,-0.119077,-0.174943,-0.564911,-0.175908,-0.062617
39851.432914,0.077598,0.129934,0.162166,0.201296,0.241399,0.146621,0.247648,0.028090
39851.436874,0.183133,0.430772,0.729195,1.081174,1.425665,1.833288,4.182171,3.098319
39851.440878,0.203443,0.474294,0.796687,1.175734,1.555197,2.004571,4.346635,3.335073
39851.444867,0.126765,0.318728,0.625015,0.957468,1.079630,1.323542,2.639839,1.574505
39851.448908,0.273532,0.727919,1.151807,1.468661,1.375558,1.150435,1.348457,0.461435
39851.452847,0.304960,0.811117,1.290639,1.673305,1.573695,1.353301,1.763987,0.581238
39851.456830,0.316363,0.831706,1.006800,0.837819,0.168121,-0.180053,-0.430950,0.704466
39851.460064,0.353555,0.932988,1.142514,0.976424,0.250213,-0.221057,-0.558734,0.650732
39851.464870,0.200738,0.467514,0.418291,0.090656,-0.187658,0.115334,0.862702,2.038941
39851.468943,0.379309,0.731884,0.362456,-0.188831,0.279150,1.729047,2.534593,2.070639
39851.472068,0.423861,0.827249,0.427286,-0.201681,0.282881,1.846254,2.827715,2.451164
39851.477141,0.219107,0.324703,-0.011504,-0.175748,0.592099,1.467531,1.020628,-0.286734
39851.480878,0.222216,0.265618,-0.042770,0.037219,0.841911,1.151005,0.229093,0.023454
39851.484901,0.398302,0.300061,-0.148614,0.850330,1.898225,0.482805,-0.313957,1.962319
39851.489128,0.446836,0.345322,-0.179188,0.918297,2.177257,0.633537,-0.427357,2.070826
39851.493190,0.227904,0.075988,0.011261,0.742291,0.705455,-0.454304,0.692377,1.382479
39851.496923,0.383429,-0.015594,0.312280,1.633817,0.275355,0.328946,2.735266,0.969236
39851.500859,0.432587,-0.013181,0.334537,1.848697,0.357442,0.298330,3.030245,1.219388
39851.504068,0.203336,-0.071356,0.364304,0.777091,-0.310131,1.061845,1.127077,-0.180333
